,2c:33:11:43:0b:90,2c:33:11:43:0b:92,2c:33:11:43:0b:93,2c:33:11:43:0b:91,2c:d0:2d:98:16:c1,2c:d0:2d:98:16:c0,2c:d0:2d:98:16:c3,2c:d0:2d:98:16:c2,b4:e9:b0:9e:ee:f3,2c:33:11:43:1d:40,08:57:00:5b:1c:bc,2c:33:11:43:1d:41,54:4a:00:66:1c:b0,54:4a:00:66:1c:b3,54:4a:00:66:1c:b2,2c:33:11:43:1d:43,2c:33:11:43:1d:42,54:4a:00:66:1c:b1,2c:33:11:22:ea:f3,b4:e9:b0:9e:ee:f0,b4:e9:b0:9e:ee:f1,82:c9:4e:f2:99:fb,2c:33:11:22:ea:f2,2c:33:11:22:ea:f0,0c:51:01:e4:0a:ae,2c:33:11:22:ea:f1,54:4a:00:66:12:a2,32:41:7f:4e:06:19,54:4a:00:66:12:a1,70:db:98:26:7c:51,54:4a:00:66:12:a3,2c:33:11:43:07:43,b4:e9:b0:9e:ee:f2,e8:de:27:58:5b:cc,94:0c:6d:fe:3a:f0,2c:33:11:43:07:41,2c:33:11:43:07:40,70:db:98:26:7c:52,70:db:98:26:7c:50,70:db:98:26:7c:53,2c:33:11:43:07:42,50:1c:bf:e2:32:22,50:1c:bf:e2:32:20,50:1c:bf:e2:32:23,2c:33:11:1a:31:a3,50:1c:bf:e2:32:21,ae:b6:d0:e4:28:eb,2c:33:11:50:2c:93,2c:33:11:1a:31:a0,2c:33:11:1a:31:a2,2c:33:11:50:2c:92,70:4f:57:18:9c:c5,2c:33:11:1a:31:a1,00:0c:f6:87:e7:f2,54:4a:00:66:12:a0,2c:33:11:43:09:73,2c:33:11:43:05:e0,2c:33:11:43:05:e1,18:60:24:36:49:25,2c:33:11:50:2c:91,64:a2:f9:34:a8:9b,2c:33:11:56:52:b3,f2:98:9d:d8:a1:50
c1-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-7,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
